Date,AMZN,TRV,AAPL,IBM,HD,MCD,WMT,MRK,CAT,JNJ,MSFT,VZ,AMGN,NKE,GS,KO,MMM,JPM,CSCO,AXP,NVDA,UNH,V,HON,DIS,CVX,BA,CRM,SHW,PG
2021-01-05,0.010004358381754175,-0.00825656438122424,0.012363870906731078,0.017750465081252775,0.008070356998908013,0.005993609652742871,-0.005323113910650545,0.0017291701405934834,0.008180055218258486,0.011757298502316216,0.0009646267879093173,-0.00458782617299669,0.004852725417069825,0.00806565073311738,0.022377002263904266,-0.010992922894436874,-0.001687477911082147,0.0054411174473636414,0.0004552734887843801,0.005337147464308911,0.022209950013846402,-0.013447653343440225,-0.014924745021195784,0.002452436074081854,0.004277404191754153,0.027033456603462902,0.043952267208251294,0.005492287264563078,-0.004989812791521886,0.006385115557816512
2021-01-06,-0.024896614147709384,0.0339701704549924,-0.033661715682306026,0.024972147868134176,0.005713257931745375,-0.002269703424172209,0.00624366092665074,0.015783030303171408,0.055652266620162205,0.009410033237170934,-0.025929415526986577,0.012120271625380985,0.024104443428647482,0.007930341187332157,0.05396261924282264,-0.031813168540560155,0.01521168821209451,0.04695590596593746,0.009549941939989592,0.036993379315731545,-0.05895279601008063,0.04196595066882258,-0.008810689579017539,0.01822882883147625,0.003810703158670048,0.03218377536444339,-0.0028351655704391687,-0.024241560147414187,0.003459118679673967,0.010526272835196027
2021-01-07,0.0075771277744003385,-0.00021576186366145667,0.03412306128687237,-0.0023204028007309807,-0.004895733838080285,0.004644536488676021,-6.820708104993134e-05,0.019907508475906832,0.0019086234589067441,0.0033789087023161635,0.028456948198886556,-0.0022503931564025192,0.0033013214306780725,0.018264915314313956,0.0213621636087602,-0.011084532740131658,-0.02566152830023949,0.032839009907452255,0.012612538140019058,-0.007909879173741308,0.05783028503980758,0.01603259958510339,0.005596708162622921,0.0016489814460516339,-0.00301463301154814,0.004677386291437324,0.007960991064248413,0.008466329707349285,0.017692021193133955,-0.009346142178529582
2021-01-08,0.006495514374673217,0.004170611993737472,0.0086313131524971,-0.0035661086972094136,0.010628309882191544,0.01835075133621955,-0.00013642346714637377,-0.01178268753366607,0.00015449121729549375,-0.002057959577069779,0.006092901357747316,-0.012472441764555642,0.019100828804857306,0.009658690756326083,-0.005383085214769601,0.02241800038317243,-0.018265421003977766,0.0011043384137430223,0.0022241581493869234,0.0009862423305073698,-0.0050396331590860655,-0.004492816812962874,0.007670200083245371,-0.012134766600351066,0.0006159617258891803,0.009531945525041108,-0.013210534195331913,0.018625485757169047,-0.008651317242521772,-0.00043252115054770446
2021-01-11,-0.021519462280005563,-0.01589664576451877,-0.023248813508090382,0.00038900775450279035,0.007953089499885602,-0.007597202158003746,0.004501165659018147,0.02372628170573532,-0.0020591606500305337,-0.004186275331898637,-0.0096985889115212,-0.005882350304788786,-0.003857621520997556,0.004782864683147814,0.012927444648430209,-0.017227921230653753,-0.008522615663030364,0.014924036368715976,0.006657863492697036,-0.005912224586417714,0.025966201148950097,-0.007264820478014022,-0.011881927220896094,-0.007951402027254528,0.0022384025444894817,0.005709146528937392,-0.014816582662147693,-0.017068944278712084,0.008466245950852214,-0.006772760193395566
2021-01-12,0.002125797051401035,0.02175637400050201,-0.0013954954036052847,0.004899668500805143,0.018803471400263172,-0.012276277379558942,0.01140602758246212,-0.022470462522703127,0.018982725734331574,-0.007780694730879167,-0.011770549618184134,-0.003480468485485,-0.004125174632746087,-0.013601000453946188,0.028519825925641618,-0.0017930475253641331,0.007930066417424886,0.015719070190505446,0.009479473762800783,0.004625812509318816,-0.010039142411309543,-0.009369158323126126,-0.01893000817506818,0.0024958606966618557,-0.01730970396723408,0.018995652106526872,0.007834084958525889,-0.012508553567801894,0.005741972040420595,-0.005803290112330162
2021-01-13,0.014438406874172749,0.01303232405850041,0.01622654502117693,-0.01772324966455141,-0.008251349874124791,0.0023154797699118657,-0.010203335901490251,-0.009026618794050423,-0.008352512024696779,-0.0015177572793703131,0.006560342829192045,-0.003492714937330499,0.004860751942248331,-0.013857336075537852,0.00241573036918985,0.0009979169452640768,-0.0013813667575731658,0.0009270578488942416,-0.009390457170432964,0.006413385698853968,0.0034853327854129645,-0.006519921135768936,0.002346273465201776,-0.00890464507523625,0.000738708297014723,-0.0009640435440625428,-0.005757866355531216,0.01234209246805662,-0.01490891577173159,0.0015322772224135583
2021-01-14,-0.012135545173177387,0.0004920777739991777,-0.015126930295544905,0.01615195149677917,-0.02083580509614713,-0.016926982806775515,-0.0032553168288068646,-0.002064557463305916,0.007708129190824531,0.017480516266446866,-0.015346302983652138,-0.0003507589941579292,0.01648859770894373,-0.012164268652881782,0.016273840071791,-0.01854065058668075,0.0007815730355247297,0.0058425375723989426,-0.004629651345965491,0.011274446794892867,-0.024497982544030017,-0.012702797468631566,-0.03577757215200261,0.007680254125735697,-0.015273695839594814,0.024021451764489887,0.013030244007329994,-0.011824877702237613,-0.01285465583065426,-0.010637084452907342
2021-01-15,-0.007424600125642833,0.006464178022175471,-0.013730489717574623,-0.004497018992218549,0.027018291193819266,0.006762893040929363,-0.01585355068241512,0.014725827637745104,-0.01408310651789313,-0.002178630294748518,-0.0017370575520028186,0.005960907759071654,0.015848662880931785,-0.0041049201959855175,-0.02228210988970547,-0.010765768163589429,-0.005167743732465091,-0.01792137135948535,0.006201415982619363,-0.013168511052157328,-0.025813761030907156,0.0021966463472675724,-0.0013375248571952936,-0.012654957963916913,-0.01147436431989246,-0.035605769651962715,-0.026630442762931916,-0.01141007278967987,0.009418931233647454,-0.00751063157618681
2021-01-19,0.005318518294228358,0.0018847275833380195,0.005427062479337552,0.004906996119674156,-0.008708604366289174,-0.003906454848182861,-0.008642324171166282,-0.002278951446830768,0.0024278425103538837,0.015470888594976362,0.017822930053364106,-0.00575122959112595,0.01132448289584187,-0.010303720943753092,-0.022623957124880634,-0.00390161845524839,0.021564236929556113,-0.004328214449804579,-0.005282989853779174,0.0376586962612353,0.01288917590505112,0.0025331863944022537,0.00034731460765446975,0.0038351668989513588,0.004783096276848253,0.026278601766157372,0.03127446730906125,0.016984040330819017,8.257033452152562e-05,-0.0087551058314288
